Year,"Major area, region, country or area of destination",0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
2005,Cuba,130,235,205,401,699,670,632,739,830,779,615,627,530,377,470,"1,544","9,483"
2005,Curaçao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2005,Dominica,270,282,248,237,212,177,153,130,108,83,74,57,53,50,48,71,"2,253"
2005,Dominican Republic,"11,163","10,059","10,962","14,975","22,528","21,975","15,184","10,715","7,998","5,680","4,464","2,960","2,635","2,572","1,482","2,469","147,821"
2005,Grenada,286,250,214,345,417,293,260,226,250,226,161,170,105,88,76,111,"3,478"
2005,Guadeloupe,"1,536","3,095","3,701","4,013","3,745","4,753","5,556","5,444","4,684","3,779","2,823","1,818","1,227",678,400,540,"47,792"
2005,Haiti,938,660,626,770,"1,022","1,305","1,497","1,375","1,146","1,009",873,748,523,261,129,173,"13,055"
2005,Jamaica,"1,069",938,964,901,732,755,846,999,983,864,541,549,420,352,338,800,"12,051"
2005,Martinique,958,"1,935","2,744","3,077","2,704","2,895","3,180","3,203","2,721","2,266","1,813","1,265",822,635,504,421,"31,143"
2005,Montserrat,52,47,30,30,38,54,61,63,55,50,43,25,14,11,8,24,605
2005,Puerto Rico,"4,390","6,524","8,276","10,797","22,424","24,465","23,835","18,291","15,740","14,716","13,138","6,216","5,133","4,238","2,979","4,202","185,364"
2005,Saint Kitts and Nevis,256,270,317,272,240,292,300,269,226,186,136,103,85,69,63,97,"3,181"
2005,Saint Lucia,356,387,469,500,409,478,572,538,487,369,271,179,181,142,119,228,"5,685"
2005,Saint Vincent and the Grenadines,219,231,255,238,183,155,167,174,155,123,94,70,51,43,41,52,"2,251"
2005,Sint Maarten (Dutch part),231,352,455,515,472,480,592,648,674,610,496,397,345,182,102,264,"6,815"
2005,Trinidad and Tobago,812,762,836,874,"1,025","1,191","1,399","1,566","1,628","1,609","1,498","1,385","1,553","1,983","2,412","3,632","24,165"
2005,Turks and Caicos Islands,496,520,511,514,568,624,647,643,565,465,301,197,135,52,42,48,"6,328"
2005,United States Virgin Islands,854,921,"1,187","1,429","1,726","2,088","2,425","2,670","2,820","2,852","2,685","2,334","1,914","1,532","1,252","1,232","29,921"
2005,Central America,"72,950","72,422","72,377","58,865","60,679","60,285","58,027","52,624","44,420","35,730","27,511","22,170","16,246","12,980","10,287","15,996","693,569"
2005,Belize,484,701,"1,025","1,675","2,273","2,606","2,555","2,159","1,759","1,486","1,138",874,576,413,315,340,"20,379"
2005,Costa Rica,"3,878","4,865","8,409","11,965","17,806","22,385","23,248","21,306","17,975","14,410","10,745","8,186","5,555","4,085","3,091","3,931","181,840"
2005,El Salvador,862,"1,145","1,503","2,228","2,601","1,893","1,476","1,489","1,357","1,102",763,622,470,393,358,728,"18,990"
2005,Guatemala,"1,657","1,612","1,577","2,123","3,251","4,131","4,267","3,815","2,805","1,883","1,241",966,773,462,277,348,"31,188"
2005,Honduras,812,"1,012","1,289","1,499","1,649","1,527","1,230",984,801,655,549,485,388,232,139,180,"13,431"
2005,Mexico,"62,189","58,999","54,311","32,805","27,086","20,605","17,755","15,660","13,183","10,624","8,497","7,623","5,736","5,280","4,548","7,944","352,845"
2005,Nicaragua,"1,944","2,196","1,875","3,504","1,369",909,848,820,793,657,602,453,355,251,201,368,"17,145"
2005,Panama,"1,124","1,892","2,388","3,066","4,644","6,229","6,648","6,391","5,747","4,913","3,976","2,961","2,393","1,864","1,358","2,157","57,751"
2005,South America,"63,123","82,218","95,669","103,890","145,283","177,135","182,813","180,855","171,761","164,429","174,297","152,547","139,867","118,791","111,595","232,474","2,296,747"
2005,Argentina,"9,043","18,053","25,409","31,213","50,423","64,375","70,910","69,914","66,913","64,761","79,244","68,901","62,793","51,935","49,249","115,142","898,278"
2005,Bolivia (Plurinational State of),"5,961","5,910","4,830","4,322","5,053","4,759","3,906","3,664","3,129","2,546","2,068","1,566","1,258",978,742,"1,034","51,726"
2005,Brazil,"6,084","7,408","7,640","8,444","11,103","13,171","12,491","13,172","14,080","16,712","21,289","22,048","24,347","24,703","26,647","66,224","295,563"
2005,Chile,"6,574","7,795","10,048","10,194","16,500","18,854","16,762","14,602","11,074","7,529","5,411","4,096","3,658","2,289","2,396","6,204","143,986"
2005,Colombia,"5,808","4,593","5,969","6,259","5,485","4,440","3,088","2,833","2,511","2,074","1,852","1,637","1,391","1,082",953,"1,931","51,906"
2005,Ecuador,"8,434","10,889","9,489","8,536","8,435","8,407","7,322","6,702","5,354","4,458","3,507","2,733","2,202","1,658","1,184","1,906","91,216"
2005,Falkland Islands (Malvinas),31,28,25,34,46,58,62,57,46,31,20,13,12,7,4,17,491
2005,French Guiana,"1,112","2,086","2,707","3,032","3,489","4,677","5,016","5,051","4,377","3,750","3,059","2,148","1,391",803,460,581,"43,739"
2005,Guyana,356,440,545,703,743,618,433,283,203,180,162,145,101,60,29,50,"5,051"
2005,Paraguay,"3,290","4,222","5,097","6,139","7,378","8,587","8,421","7,796","6,987","5,813","4,674","3,606","2,789","2,144","1,468","2,134","80,545"
2005,Peru,"2,779","3,949","3,197","2,148","2,392","3,283","2,833","2,631","2,347","2,124","1,976","1,877","1,860","1,598","1,304","2,497","38,795"
2005,Suriname,"1,296","1,394","1,429","1,472","1,561","1,548","1,404","1,197",969,788,636,509,412,318,176,216,"15,325"
2005,Uruguay,"1,539","1,554","1,731","1,718","2,188","2,683","3,014","3,609","3,793","2,958","2,299","2,266","2,707","2,929","2,765","6,907","44,660"
2005,Venezuela (Bolivarian Republic of),"10,816","13,897","17,553","19,676","30,487","41,675","47,151","49,344","49,978","50,705","48,100","41,002","34,946","28,287","24,218","27,631","535,466"
2005,NORTHERN AMERICA,"236,313","576,845","855,367","1,204,488","1,498,677","2,121,732","2,323,443","2,369,537","2,161,939","2,047,404","1,745,567","1,372,514","1,220,140","917,284","805,527","1,361,882","22,818,659"
2005,Bermuda,225,336,319,324,437,932,"1,057","1,079",951,792,696,631,494,415,322,400,"9,410"
2005,Canada,"29,332","61,633","93,837","118,068","156,888","211,599","256,265","290,041","298,125","302,011","283,007","234,498","216,577","180,927","151,879","278,460","3,163,147"
2005,Greenland,113,122,105,94,110,245,288,224,188,201,184,141,84,19,8,11,"2,137"
2005,Saint Pierre and Miquelon,27,35,48,42,30,35,47,56,56,48,42,28,14,7,7,28,550
2005,United States of America,"206,616","514,719","761,058","1,085,960","1,341,212","1,908,921","2,065,786","2,078,137","1,862,619","1,744,352","1,461,638","1,137,216","1,002,971","735,916","653,311","1,082,983","19,643,415"
2005,OCEANIA,"31,023","68,119","92,739","129,235","186,519","206,187","237,806","269,842","299,777","264,285","271,698","252,530","187,502","161,428","128,631","247,203","3,034,524"
2005,Australia/New Zealand,"24,239","60,021","84,092","120,220","176,662","192,718","221,899","253,392","285,588","252,783","262,864","245,723","182,125","158,010","126,285","244,481","2,891,102"
2005,Australia,"17,410","44,500","62,110","94,370","141,930","160,960","186,100","211,780","242,800","217,110","233,970","219,140","160,980","139,570","111,440","214,670","2,458,840"
2005,New Zealand,"6,829","15,521","21,982","25,850","34,732","31,758","35,799","41,612","42,788","35,673","28,894","26,583","21,145","18,440","14,845","29,811","432,262"
2005,Melanesia,"2,361","2,757","2,670","2,463","2,570","3,468","4,178","4,690","4,509","3,861","3,195","2,772","2,270","1,370",919,"1,182","45,235"
2005,Fiji,385,326,303,337,442,557,610,580,507,424,357,323,259,178,120,163,"5,871"
2005,New Caledonia,636,"1,063","1,153","1,169","1,282","1,883","2,350","2,833","2,798","2,415","2,003","1,828","1,598",936,653,896,"25,496"
2005,Papua New Guinea,"1,117","1,174","1,062",821,650,707,853,962,959,838,689,503,324,194,106,66,"11,025"
2005,Solomon Islands,98,93,70,55,94,177,196,157,119,90,77,67,49,39,25,35,"1,441"
2005,Vanuatu,125,101,82,81,102,144,169,158,126,94,69,51,40,23,15,22,"1,402"
2005,Micronesia,"2,556","3,111","3,649","4,107","4,813","6,885","8,243","8,172","6,557","4,975","3,669","2,527","1,981","1,384",994,998,"64,621"
2005,Guam,"1,087","1,867","2,372","2,482","2,894","3,608","3,937","3,897","3,178","2,662","2,347","1,717","1,462","1,070",811,750,"36,141"
2005,Kiribati,93,121,142,151,119,109,101,91,83,47,30,26,17,11,6,28,"1,175"
2005,Marshall Islands,88,69,51,48,81,104,116,106,81,56,40,27,18,15,7,25,932
2005,Micronesia (Fed. States of),96,92,102,102,136,178,167,119,91,74,60,47,32,20,10,14,"1,340"
2005,Nauru,71,65,50,55,66,89,105,111,106,91,67,50,39,30,21,29,"1,045"
2005,Northern Mariana Islands,"1,060",823,801,"1,138","1,308","2,484","3,468","3,488","2,697","1,800",991,609,391,231,135,141,"21,565"
2005,Palau,61,74,131,131,209,313,349,360,321,245,134,51,22,7,4,11,"2,423"
2005,Polynesia,"1,867","2,230","2,328","2,445","2,474","3,116","3,486","3,588","3,123","2,666","1,970","1,508","1,126",664,433,542,"33,566"
2005,American Samoa,419,530,660,864,"1,088","1,258","1,373","1,344","1,156",999,701,470,364,215,153,141,"11,735"
2005,Cook Islands,208,136,133,145,159,151,130,105,84,69,55,49,34,34,22,39,"1,553"
2005,French Polynesia,451,817,831,779,628,"1,168","1,482","1,703","1,545","1,348","1,016",818,574,300,186,235,"13,881"
2005,Niue,37,33,30,25,21,20,19,14,9,7,6,5,4,4,1,5,240
2005,Samoa,390,385,362,322,259,196,173,155,124,95,76,68,64,52,40,45,"2,806"
2005,Tokelau,15,19,22,18,13,9,6,4,3,2,2,1,1,2,2,6,125
2005,Tonga,265,224,187,167,170,173,172,152,115,80,64,59,55,37,20,33,"1,973"
2005,Tuvalu,4,4,3,7,7,8,7,6,4,3,2,1,1,2,..,23,82
2005,Wallis and Futuna Islands,78,82,100,118,129,133,124,105,83,63,48,37,29,18,9,15,"1,171"
2010,WORLD,"2,911,835","3,534,754","4,123,684","5,296,446","7,947,296","10,328,423","10,715,832","10,258,655","9,478,045","8,633,179","7,562,624","6,451,150","5,466,479","4,131,127","3,533,990","6,061,230","106,435,428"
2010,More developed regions,"689,469","1,380,754","1,964,200","2,814,133","4,464,554","6,138,346","6,597,671","6,590,413","6,457,896","6,108,088","5,465,992","4,697,616","4,010,447","2,998,463","2,580,377","4,350,812","67,309,653"
2010,Less developed regions,"2,222,366","2,154,000","2,159,484","2,482,313","3,482,742","4,190,077","4,118,161","3,668,242","3,020,149","2,525,091","2,096,632","1,753,534","1,456,032","1,132,664","953,613","1,710,418","39,125,775"
2010,Least developed countries,"378,794","373,772","434,406","499,336","553,758","548,565","495,852","412,530","337,525","262,943","204,830","157,991","118,427","87,561","58,528","70,506","4,995,324"
2010,"Less developed regions, excluding least developed countries","1,843,780","1,780,669","1,725,664","1,983,630","2,929,971","3,643,421","3,624,876","3,258,340","2,685,187","2,264,751","1,894,151","1,597,417","1,339,172","1,046,255","895,865","1,641,612","34,155,018"
2010,High-income countries,"1,254,756","1,891,181","2,364,213","3,013,805","4,726,593","6,665,124","7,116,782","6,914,954","6,465,698","5,820,864","4,999,210","4,178,381","3,530,822","2,640,924","2,274,481","4,089,406","67,947,194"
2010,Middle-income countries,"1,359,326","1,344,483","1,415,090","1,896,957","2,800,400","3,233,398","3,194,754","2,992,167","2,718,837","2,578,801","2,378,845","2,129,615","1,828,302","1,416,179","1,211,645","1,909,716","34,408,515"
2010,Upper-middle-income countries,"633,362","666,950","727,370","1,090,454","1,716,776","1,944,317","1,816,991","1,682,309","1,496,532","1,410,817","1,333,100","1,207,393","1,044,565","754,818","649,214","1,086,291","19,261,259"
2010,Lower-middle-income countries,"725,964","677,533","687,720","806,503","1,083,624","1,289,081","1,377,763","1,309,858","1,222,305","1,167,984","1,045,745","922,222","783,737","661,361","562,431","823,425","15,147,256"
2010,Low-income countries,"289,308","284,205","325,427","364,329","399,113","403,762","376,039","323,951","270,249","214,991","170,270","133,211","100,659","69,854","45,113","58,896","3,829,377"
2010,Sub-Saharan Africa,"610,505","586,287","606,556","676,931","731,832","750,057","716,617","632,202","519,587","416,490","326,367","265,696","204,860","142,120","83,943","101,618","7,371,925"
2010,AFRICA,"644,936","617,321","640,563","715,005","776,036","803,970","765,063","674,806","554,627","447,242","351,676","285,577","220,444","153,170","92,723","112,638","7,856,054"
2010,Eastern Africa,"181,755","189,014","193,805","212,773","224,900","225,394","218,174","191,244","160,307","130,459","104,572","84,395","64,254","44,219","26,571","39,011","2,290,847"
2010,Burundi,"16,157","9,249","7,279","9,524","9,203","9,043","10,003","10,534","9,699","8,313","6,487","4,650","3,316","2,306","1,705","1,968","119,436"
2010,Comoros,235,238,353,465,555,663,719,731,667,564,446,325,217,169,109,102,"6,558"
2010,Djibouti,"1,531","2,734","4,171","5,667","6,593","6,585","5,598","4,328","3,121","2,192","1,698","1,402","1,108",685,342,525,"48,280"
2010,Eritrea,465,427,508,648,731,775,746,653,553,447,369,301,202,119,47,82,"7,073"
2010,Ethiopia,"14,396","18,384","22,489","26,202","29,189","28,589","26,850","23,128","19,740","16,197","13,515","11,255","9,244","5,498","2,199","3,311","270,186"
2010,Kenya,"53,484","59,031","52,135","46,356","44,751","41,464","36,837","32,641","25,501","20,082","15,406","13,497","10,511","7,287","4,063","4,570","467,616"
2010,Madagascar,882,903,893,810,710,769,934,"1,033",988,891,836,799,711,569,425,342,"12,495"
2010,Malawi,"7,035","6,795","6,823","7,219","9,980","11,643","10,914","9,772","8,387","7,193","5,934","5,233","3,704","3,308","2,407","7,506","113,853"
2010,Mauritius,245,300,422,662,"1,038","1,323","2,025","1,956","1,370",761,529,349,256,152,115,145,"11,648"
2010,Mayotte,"1,622","1,989","2,545","3,477","4,469","5,131","5,137","4,467","3,380","2,096","1,165",897,842,573,232,235,"38,257"
2010,Mozambique,"16,636","11,693","8,833","7,603","7,652","11,397","14,955","7,960","5,738","4,852","3,628","2,711","2,125","1,573","1,165","1,415","109,936"
2010,Réunion,"2,003","4,731","6,171","6,350","4,613","5,330","6,146","6,135","5,279","4,228","3,565","2,262","1,336",831,549,793,"60,322"
2010,Rwanda,"8,136","10,855","18,232","32,198","32,438","25,874","21,544","17,483","13,869","10,856","7,780","5,909","2,718","3,424","3,079","3,967","218,362"
2010,Seychelles,97,125,89,109,357,491,578,557,435,309,202,101,61,36,30,39,"3,616"
2010,Somalia,"1,458","1,346","1,027",950,908,"1,024","1,033",900,727,564,436,299,214,77,52,66,"11,081"
2010,South Sudan,"13,106","14,767","12,820","13,013","12,337","11,360","9,256","8,295","7,172","5,753","5,447","4,296","3,262","1,782","1,197","1,349","125,212"
2010,Uganda,"23,244","21,706","21,501","21,854","24,787","26,389","25,802","23,289","19,384","16,108","12,951","10,800","8,096","5,444","2,465","3,694","267,514"
2010,United Republic of Tanzania,"11,125","9,560","8,988","9,226","10,850","12,824","13,901","14,415","13,882","12,483","9,892","7,439","5,774","4,812","4,061","5,384","154,616"
2010,Zambia,"3,568","5,041","6,992","7,512","7,896","7,751","7,159","6,238","5,261","4,359","3,639","3,008","2,137","1,520",708,"1,073","73,862"
2010,Zimbabwe,"6,330","9,140","11,534","12,928","15,843","16,969","18,037","16,729","15,154","12,211","10,647","8,862","8,420","4,054","1,621","2,445","170,924"
2010,Middle Africa,"99,838","93,546","87,448","94,537","100,497","100,770","95,521","87,019","75,160","61,447","48,751","39,031","27,025","17,187","9,379","11,062","1,048,218"
2010,Angola,"2,044","2,796","3,595","4,514","4,849","4,743","4,076","3,155","2,366","1,772","1,376","1,209",919,751,563,708,"39,436"
2010,Cameroon,"11,603","9,245","8,242","9,196","9,503","10,875","12,149","12,260","11,157","9,975","8,271","6,549","3,686","2,697","1,670","1,849","128,927"
2010,Central African Republic,"5,609","3,560","3,298","2,819","2,961","3,557","3,875","3,873","3,522","2,997","2,268","1,686","1,219",976,664,839,"43,723"
2010,Chad,"28,020","26,499","23,357","22,635","23,162","21,344","19,175","17,056","13,985","10,233","7,578","6,795","5,073","2,521","1,273","1,445","230,151"
2010,Congo,"18,698","13,956","11,903","13,087","14,630","17,233","19,209","18,908","17,501","14,407","11,055","7,702","5,455","3,800","2,097","1,828","191,469"
2010,Democratic Republic of the Congo,"23,573","28,704","29,041","31,623","33,979","31,825","26,503","22,573","18,847","15,662","13,028","10,779","7,798","4,991","2,442","3,338","304,706"
2010,Equatorial Guinea,283,262,263,305,365,403,401,367,319,286,204,162,130,91,28,55,"3,924"
2010,Gabon,"9,952","8,449","7,680","10,308","10,989","10,711","10,064","8,752","7,384","5,992","4,869","4,088","2,692","1,295",518,791,"104,534"
2010,Sao Tome and Principe,56,75,69,50,59,79,69,75,79,123,102,61,53,65,124,209,"1,348"
2010,Northern Africa,"63,728","60,917","64,467","67,592","70,395","76,316","67,698","58,888","48,825","42,790","35,939","29,588","25,388","21,126","17,399","16,654","767,710"
2010,Algeria,"6,170","5,696","5,051","5,798","7,295","7,279","7,490","7,790","8,446","9,863","8,934","6,381","4,729","4,145","3,266","3,904","102,237"
2010,Egypt,"7,324","6,013","6,186","6,788","8,578","18,414","16,137","15,091","11,669","9,493","7,109","5,300","3,414","2,822","2,171","3,134","129,643"
2010,Libya,"17,490","16,405","19,750","22,091","24,230","23,459","19,577","14,290","9,748","6,659","5,127","4,798","4,888","2,215","1,950","1,584","194,261"
2010,Morocco,"2,450","1,853","1,870","2,109","2,464","2,767","2,965","3,045","2,849","2,611","2,295","1,984","1,693","1,342","1,026","1,848","35,171"
2010,Sudan,"29,297","29,883","30,460","29,518","26,191","22,403","19,252","16,284","13,785","12,038","10,630","9,707","9,804","10,076","8,619","5,634","283,581"
2010,Tunisia,898,983,"1,062","1,180","1,494","1,817","2,083","2,202","2,156","1,968","1,712","1,317",784,469,324,487,"20,936"
2010,Western Sahara,99,84,88,108,143,177,194,186,172,158,132,101,76,57,43,63,"1,881"
2010,Southern Africa,"35,966","42,704","49,965","69,209","89,356","102,986","100,831","91,362","81,541","73,675","66,283","62,461","54,011","36,691","17,324","25,528","999,893"
2010,Botswana,"5,975","5,010","3,050","2,675","2,612","5,822","7,888","6,546","4,716","3,306","2,358","1,499","1,030",683,476,574,"54,220"
2010,Lesotho,173,149,147,144,207,289,365,342,292,252,208,141,73,64,41,58,"2,945"
2010,Namibia,"1,648","1,886","2,329","3,110","5,598","5,663","4,311","3,318","3,111","3,171","2,939","2,331","2,182","1,653","1,276","2,825","47,351"
2010,South Africa,"27,219","34,758","43,612","62,437","79,780","89,667","86,766","79,868","72,289","65,950","59,907","57,780","50,153","33,804","15,138","21,629","880,757"
2010,Swaziland,951,901,827,843,"1,159","1,545","1,501","1,288","1,133",996,871,710,573,487,393,442,"14,620"
2010,Western Africa,"263,649","231,140","244,878","270,894","290,888","298,504","282,839","246,293","188,794","138,871","96,131","70,102","49,766","33,947","22,050","20,383","2,749,386"
2010,Benin,"12,799","8,843","6,780","6,761","7,045","8,741","9,374","8,939","6,662","5,064","3,791","2,381","2,095","1,466","1,075","1,312","93,128"
2010,Burkina Faso,"21,791","16,921","40,389","42,608","48,549","43,202","36,370","29,106","21,922","16,801","12,105","8,445","5,526","3,854","2,554","3,077","353,220"
2010,Cabo Verde,146,187,265,392,530,683,837,919,898,713,503,317,211,182,135,162,"7,080"
2010,Côte d'Ivoire,"51,566","43,188","48,165","71,651","97,045","118,538","124,069","110,847","85,527","63,386","42,166","30,473","20,648","14,351","8,381","4,818","934,819"
2010,Gambia,"9,110","8,645","8,410","9,888","9,959","10,528","9,174","7,266","5,190","3,128","2,181","1,557","1,246",570,325,500,"87,677"
2010,Ghana,"18,206","18,598","18,536","19,489","17,776","16,532","13,043","10,638","8,074","6,013","4,914","3,869","3,322","2,359","1,932","2,158","165,459"
2010,Guinea,"8,421","7,615","8,591","10,782","9,854","8,434","7,057","5,549","4,218","3,452","2,895","2,576","2,419","1,435",781,"1,020","85,099"
2010,Guinea-Bissau,"1,549","1,155","1,022",836,"1,102","1,189",942,708,595,468,370,246,184,157,114,117,"10,754"
2010,Liberia,"4,514","6,073","6,518","4,287","4,379","4,474","3,206","2,683","1,919","1,313",935,620,498,336,190,299,"42,244"
2010,Mali,"10,779","13,922","20,873","24,281","21,460","16,837","13,415","10,808","8,284","6,151","4,611","3,615","2,915","2,309","1,726","1,742","163,728"
2010,Mauritania,"5,812","4,591","3,561","3,183","3,380","3,310","2,991","2,542","1,894","1,314",910,769,551,447,349,470,"36,074"
2010,Niger,"8,087","7,648","6,741","6,533","6,685","6,160","5,534","4,922","4,036","2,954","2,186","1,961","1,464",727,366,427,"66,431"
2010,Nigeria,"85,847","63,966","40,433","35,814","29,218","27,167","30,007","30,348","24,707","16,855","10,697","6,889","4,575","3,037","2,028","1,420","413,008"
2010,Saint Helena,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,257
2010,Senegal,"5,420","7,848","11,365","14,660","16,346","16,089","13,222","10,207","7,153","5,325","3,823","3,381","1,917","1,093",994,"1,370","120,213"
2010,Sierra Leone,"4,529","6,059","6,202","5,211","4,210","4,326","3,702","2,873","2,239","1,571","1,092",757,542,405,261,234,"44,213"
2010,Togo,"15,073","15,881","17,027","14,518","13,350","12,294","9,896","7,938","5,476","4,363","2,952","2,246","1,653","1,219",839,"1,257","125,982"
2010,ASIA,"1,373,764","1,296,568","1,307,892","1,562,591","2,542,635","3,175,546","3,124,543","2,764,215","2,262,614","1,882,715","1,533,557","1,282,591","1,067,953","848,257","758,297","1,371,113","28,154,851"
2010,Central Asia,"41,703","68,795","86,916","119,656","187,491","221,147","213,567","199,023","189,968","193,710","197,823","204,402","198,807","188,327","201,121","261,481","2,773,937"
2010,Kazakhstan,"29,141","50,505","60,856","84,661","142,061","167,974","152,053","130,989","113,838","111,144","107,709","112,722","107,487","93,458","102,115","142,884","1,709,597"
2010,Kyrgyzstan,"1,860","2,103","3,164","6,295","9,076","8,082","8,009","8,581","9,615","11,674","12,687","11,853","8,689","8,806","7,484","19,185","137,163"
2010,Tajikistan,"1,566","1,968","3,306","4,238","5,816","7,287","8,721","10,381","11,761","13,603","15,468","16,783","17,206","15,074","12,216","12,634","158,028"
2010,Turkmenistan,"1,277","1,988","2,739","3,420","4,270","5,287","6,264","6,864","7,659","8,013","8,666","8,818","8,840","9,388","11,308","12,578","107,379"
2010,Uzbekistan,"7,859","12,231","16,851","21,042","26,268","32,517","38,520","42,208","47,095","49,276","53,293","54,226","56,585","61,601","67,998","74,200","661,770"
2010,Eastern Asia,"70,805","68,767","92,056","133,408","340,471","395,785","386,685","387,161","368,458","319,835","261,348","216,730","182,366","131,345","118,360","269,993","3,743,573"
2010,China,"20,681","18,299","19,337","23,844","28,262","33,133","34,477","32,814","29,230","24,346","20,350","17,260","14,630","10,973","6,583","9,884","344,103"
2010,"China, Hong Kong SAR","5,975","12,444","32,786","48,055","74,185","129,074","143,698","164,185","156,166","137,304","122,179","113,883","109,979","83,219","83,974","215,305","1,632,411"
2010,"China, Macao SAR",836,"1,437","2,368","4,940","12,425","15,228","15,587","18,785","20,188","21,495","18,099","13,914","9,567","4,924","3,963","8,343","172,099"
2010,Dem. People's Republic of Korea,"1,184","1,014","1,065","1,431","1,787","2,170","2,318","2,232","1,996","1,667","1,391","1,176",996,762,508,547,"22,244"
2010,Japan,"35,221","31,142","32,745","43,272","145,585","153,884","144,984","130,264","123,107","95,678","67,353","50,192","37,455","28,036","21,373","34,000","1,174,291"
2010,Mongolia,195,196,170,198,499,474,380,410,432,397,277,219,118,76,65,75,"4,181"
2010,Republic of Korea,"6,713","4,235","3,585","11,668","77,728","61,822","45,241","38,471","37,339","38,948","31,699","20,086","9,621","3,355","1,894","1,839","394,244"
2010,Southern Asia,"149,771","181,469","263,239","351,110","525,301","668,589","725,594","671,589","598,574","565,033","483,570","411,553","337,387","264,537","198,467","418,407","6,814,190"
2010,Afghanistan,"2,537","2,894","3,547","4,158","4,673","4,862","4,632","4,129","3,556","2,926","2,409","1,956","1,241",503,201,313,"44,537"
2010,Bangladesh,"32,673","40,175","59,088","80,187","100,526","93,377","75,899","52,521","39,582","24,741","15,691","9,181","4,847","3,251","1,300","1,959","634,998"
2010,Bhutan,340,469,595,611,259,"1,799",803,773,749,688,597,459,373,233,168,221,"9,137"
2010,India,"14,987","32,265","61,243","81,070","135,170","195,078","248,337","225,978","214,304","255,860","232,825","198,259","173,876","144,652","116,108","318,174","2,648,186"
2010,Iran (Islamic Republic of),"75,022","73,777","89,925","109,748","137,991","152,295","142,688","121,378","89,338","62,820","43,347","36,807","25,722","14,482","5,791","8,707","1,189,838"
2010,Maldives,"1,427","1,243","1,191","1,113",938,"1,259","1,317","1,183",979,695,501,348,263,182,112,196,"12,947"
2010,Nepal,"6,020","4,997","9,214","17,793","33,298","49,020","51,416","46,738","43,417","33,309","27,259","19,315","15,205","12,932","10,023","9,183","389,139"
2010,Pakistan,"14,804","23,135","36,101","54,610","111,264","169,863","199,514","218,012","205,840","183,292","160,341","144,755","115,273","87,620","64,183","78,536","1,867,143"
2010,Sri Lanka,"1,961","2,514","2,335","1,820","1,182","1,036",988,877,809,702,600,473,587,682,581,"1,118","18,265"
2010,South-Eastern Asia,"144,851","143,567","157,773","328,990","599,619","664,264","535,418","429,716","324,920","233,900","167,318","118,595","88,742","60,064","54,338","119,095","4,171,170"
2010,Brunei Darussalam,"2,954","2,285","2,220","2,582","3,205","3,946","4,333","4,221","4,134","3,952","3,396","2,444","1,728","1,081",631,752,"43,864"
2010,Cambodia,514,649,"1,022","5,412","6,860","5,322","3,763","3,256","2,794","2,585","2,269","1,562",914,835,333,502,"38,592"
2010,Indonesia,"11,688","13,994","15,926","16,140","14,678","12,869","11,298","8,779","6,769","4,984","3,892","2,631","2,167","1,437","1,076","2,224","130,552"
2010,Lao People's Democratic Republic,788,871,"1,027","1,176","1,500","1,694","1,727","1,584","1,235",882,727,604,513,312,159,250,"15,049"
2010,Malaysia,"28,599","27,370","22,793","90,417","183,336","197,241","130,923","101,494","70,116","43,307","27,074","15,875","10,603","5,601","5,007","9,049","968,805"
2010,Myanmar,"2,050","1,945","2,325","2,716","3,168","3,206","3,343","3,024","2,516","2,127","1,878","1,648","1,702","1,380",782,"1,030","34,840"
2010,Philippines,"10,876","8,655","7,413","6,270","6,144","7,609","8,905","9,105","7,961","6,279","4,591","3,626","2,584","2,351","1,857","6,440","100,666"
2010,Singapore,"23,946","33,364","49,049","66,526","94,193","128,145","145,495","142,122","121,575","98,764","77,178","62,490","45,068","30,246","27,976","61,801","1,207,938"
2010,Thailand,"61,711","52,654","53,997","135,462","283,427","300,550","221,759","152,680","105,166","69,113","44,853","26,572","22,452","16,217","16,182","36,581","1,599,376"
2010,Timor-Leste,374,287,241,274,537,779,913,737,538,395,214,108,132,68,62,44,"5,703"
2010,Viet Nam,"1,351","1,493","1,760","2,015","2,571","2,903","2,959","2,714","2,116","1,512","1,246","1,035",879,536,273,422,"25,785"
2010,Western Asia,"966,634","833,970","707,908","629,427","889,753","1,225,761","1,263,279","1,076,726","780,694","570,237","423,498","331,311","260,651","203,984","186,011","302,137","10,651,981"
2010,Armenia,"1,925","2,337","2,056","3,705","5,958","6,262","5,256","7,584","9,937","9,442","10,716","11,991","11,546","12,692","13,837","15,971","131,215"
2010,Azerbaijan,"3,553","3,740","4,319","5,589","7,361","10,534","13,579","14,208","12,646","11,313","10,619","10,291","10,143","9,510","8,170","11,814","147,389"
2010,Bahrain,"12,315","11,433","8,285","6,152","19,096","31,390","28,623","23,416","17,246","11,847","6,707","3,157","1,212",450,295,327,"181,951"
2010,Cyprus,"1,520","2,676","3,379","4,412","9,630","13,939","14,628","14,464","12,048","9,143","6,100","4,452","3,645","2,621","1,577","1,761","105,995"
